Viral protein,Human protein,Link,Supplementary,Reference,Useful information
Nsp15,MTDH,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp13,NAT10,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf6,DCTN2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
M,PSMA7,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,COPB1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
E,SLC25A12,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf10,XPO1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp4,RBM28,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
S,RPS18,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
M,DNAJA1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp4,RPS12,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp2,RPS10,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
M,HADHA,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7a,EMD,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7a,SLC25A3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp8,WDR6,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,IMMT,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf10,YTHDF2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf10,ATP2A2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp2,ATP1A1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp10,AASDHPPT,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp13,RPS18,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp4,MKI67,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp15,RPS14,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf3a,ATP1A1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,DPM1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
M,GEMIN4,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp15,NOP2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp3,MYL12A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp15,SART3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp11,MYO1B,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp14,CRKL,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp8,MCM3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp7,ATP2A2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp8,ATP2A2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp10,PPP1CB,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf8,HADHA,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp4,MTDH,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,XPO1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp4,PRPF3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,FAF2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
M,RCN2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp9,C1QBP,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
M,PSMC2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf8,PSMC5,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp7,TMEM33,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp8,YWHAQ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp12,TPM3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7a,CALU,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp3,PSMC5,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
M,ATP1A1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp4,NAT10,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
E,EMD,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp10,C1QBP,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp2,GTPBP4,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7a,ATP1A1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf8,DNAJA1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp15,PRPF3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf3a,DNAJA1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp15,GTPBP4,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
M,BAG6,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf10,CCT5,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
M,CLPB,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
M,ATP2A2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
E,ATP2A2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp4,DDX24,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp2,FAF2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,COPG2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf8,SEC16A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
M,PSMD6,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf3a,BAG6,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf3a,CALU,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,ATAD3A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf8,ATP2A2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,TECR,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp7,ATP1A1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
N,HNRNPA0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp4,YBX3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
M,EMD,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf10,RCN2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,SND1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf8,SLC25A3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp10,YWHAQ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
M,DNAJC7,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf6,FAF2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
M,COPA,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp2,NAT10,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf10,FAF2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf10,CCT4,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf6,DSP,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
S,CORO1C,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,ATP1A1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp8,ATP1A1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp7,DNAJA1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf8,COPA,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
M,PSMC1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,TMEM33,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,QPCTL,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf6,ATP1A1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp8,CAPZB,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp14,CCT3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp7,SLC25A3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7a,DNAJA3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7a,COPA,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7a,SEC16A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
M,PSMD7,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7a,PSMC5,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf10,XPOT,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp14,PCBP2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp13,CAPZB,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp3,ATP1A1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp4,ATP1A1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf10,SLC25A3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,COPA,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
N,SNRNP70,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp1,EIF3E,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7a,BAG6,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp8,MYL12A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,ATP2A2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp10,IMPDH2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp11,ACTR3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
E,SLC25A3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
M,PSMD11,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
M,PSMC5,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7a,PSMD7,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp8,COPA,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf6,ATP2A2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp15,RPSA,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,DNAJA1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf10,SMC2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,SLC25A3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf10,COPG2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp14,CAPZB,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf6,MRPS27,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf8,PSMD2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp10,CCT5,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf10,IMMT,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7a,PSMC2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf3a,COPA,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7a,PSMD2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp12,CAPZB,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf8,CALU,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp13,CCT3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp15,EXOSC2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
M,CALU,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp11,MYO6,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp14,ATP1A1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,SLC25A11,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp8,PSMD2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf8,PSMC2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
